image_id,file_path,title,topic,screen_area,manual_text,related_documents,suggested_queries
IMG-001,screenshots/dashboard_filter_setup.png,Saved Filter Setup - Queue Monitoring,dashboard_filter_setup,"filter_drawer, save_filter_panel, result_grid",Queue Refund Exceptions; Status Pending Review; Created Date Last 30 days; Save filter naming convention; Visibility Workgroup only; Screenshot evidence should include filter drawer and result count.,documents/notes/dashboard_filter_setup.md; documents/notes/training_content_index.md,Where is the filter drawer located? | What should be visible in a screenshot attached for supervisor review?
IMG-002,screenshots/approval_queue_status.png,Approval Queue Status View,approval_escalation,"queue_status, escalation_note, timeline",Request age one business day; status waiting on evidence; escalation reason pending more than one business day and blocker unclear; assign supervisor review.,documents/pdfs/Approval_Escalation_Process.pdf,Show approval screenshot for items pending more than one business day. | When is L2 supervisor review used?
IMG-003,screenshots/refund_exception_form.png,Refund Exception Intake Form,refund_exception_handling,"required_fields, exception_type, coordinator_summary",Account reference; refund amount; invoice transaction ID; exception reason; evidence status; policy override; supervisor review; do not promise refund approval.,documents/pdfs/Refund_Exception_Handling_Guide.pdf,Which screenshot shows refund exception required fields? | What should not be promised in a refund exception routing note?
IMG-004,screenshots/user_access_role_mapping.png,User Access Role Mapping,access_request_routing,"requested_role, routing_rule, expiry_reminder",Requested role Reviewer; manager approval attached; Reviewer access requires supervisor review; temporary access requires expiry date in routing note.,documents/pdfs/Ops_Onboarding_Access_Requests.pdf; documents/notes/user_role_matrix.txt,Which access role requires supervisor review? | When does temporary access need expiry?
IMG-005,screenshots/quality_review_checklist.png,Monthly Quality Review Checklist,quality_review,"review_sample, quality_checks, escalation_rule","Review sample includes access requests, refund exceptions, approval escalations, manual account corrections, dashboard setup support; escalate if same error pattern appears in three or more records from same queue.",documents/notes/monthly_quality_review_sop.md,What fields should be checked during monthly quality review? | When should repeated error patterns be escalated?
IMG-006,screenshots/kb_search_result_mock.png,Search Assistant Result Example,prototype_ui_reference,"query, expected_result_layout","Expected result layout includes short answer draft, top text sources, screenshot matches, confidence indicator, and suggested next step.",documents/notes/internal_search_use_cases.md,What should the Streamlit result screen show?
IMG-101,public_sources/screenshots/Escalation_trigger.png,Escalation trigger setup,approval_escalation,"Trigger conditions for escalating tickets based on requester comment text, with a nullifying tag condition to prevent repeat runs.",data/public_sources/texts/workflow_receipe.txt,What does an escalation trigger look like?
IMG-102,public_sources/screenshots/Escalation_trigger_actions.png,Escalation trigger actions,approval_escalation,"Trigger actions panel showing Add Tags escalated_customer, set Priority to Urgent, and assign Group to Escalations.",data/public_sources/texts/workflow_receipe.txt,What actions run when a ticket is escalated?
IMG-103,public_sources/screenshots/Escalate_bad_CSAT_with_comment.png,Escalate low CSAT with comment,approval_escalation,"Trigger named Bad CSAT with comment, tagging tickets where satisfaction is Bad with comment.",data/public_sources/texts/workflow_receipe.txt,How is a low satisfaction score with a comment escalated?
IMG-104,public_sources/screenshots/Escalate_bad_CSAT_without_comment.png,Escalate low CSAT without comment,approval_escalation,"Trigger named Bad CSAT without comment, tagging tickets where satisfaction is Bad with no comment.",data/public_sources/texts/workflow_receipe.txt,How is a low satisfaction score without a comment escalated?
IMG-105,public_sources/screenshots/Escalated_3_agent_replies.png,Escalation after repeated replies,approval_escalation,"Trigger for tickets with more than three agent replies, assigning them to the Escalations group.",data/public_sources/texts/workflow_receipe.txt,When does repeated back and forth trigger escalation?
IMG-106,public_sources/screenshots/View_to_show_escalations.png,View filtered to show escalations,approval_escalation,"Saved view restricted to the Escalations group, filtered by escalation tags and grouped by latest update.",data/public_sources/texts/workflow_receipe.txt,How do I view only escalated items?
IMG-107,public_sources/screenshots/pipeline_views_gear_icon_filter_panel.png,Pipeline view filter panel,dashboard_filter_setup,"List View Controls gear icon menu for creating pipeline views, next to the filter panel for time period and user filters.",data/public_sources/texts/creating_custom_pipeline_views_and_filters.txt,Where is the filter panel for pipeline views?
IMG-108,public_sources/screenshots/rd_dashboard_filter_example_stage_lex.png,Dashboard filter example by stage,dashboard_filter_setup,"Support Manager Dashboard filtered by Annual Revenue greater than or equal to 1,000,000, Case Priority equals High, Account Type equals Customer.",data/public_sources/texts/salesforce_dashboard_filters_cheatsheet.pdf,What does a dashboard filtered by stage look like?
IMG-109,public_sources/screenshots/qa_admin_user_role.png,QA admin user role settings,quality_review,"Users page showing the Access checkbox and Role dropdown next to Quality assurance for assigning a user's QA role.",data/public_sources/texts/Zendesk_QA_Admin_guide.txt,How do I set an admin role for QA?
IMG-110,public_sources/screenshots/qa_comment_hashtag.png,QA comment tagging,quality_review,"Comment box on a review showing custom hashtag and @mention fields used to notify team members.",data/public_sources/texts/Zendesk_QA_as_Reviewer.txt,How are QA comments tagged?
IMG-111,public_sources/screenshots/qa_reasoning.png,QA scoring reasoning,quality_review,"Root cause field shown during conversation review, entered optionally before submitting scores and comments.",data/public_sources/texts/Zendesk_QA_as_Reviewer.txt,Where does the reasoning behind a QA score appear?
IMG-112,public_sources/screenshots/qa_workspace_members_remove.png,Remove QA workspace member,quality_review,"Workspace Members settings panel for adding or removing users and changing their workspace permissions.",data/public_sources/texts/Zendesk_QA_Admin_guide.txt,How do I remove a member from a QA workspace?
IMG-113,public_sources/screenshots/reviewerqa_evaluations.png,Reviewer QA evaluations list,quality_review,"Activity page Received tab showing Evaluations, where leads assess whether they agree with a reviewer's scores.",data/public_sources/texts/Zendesk_QA_as_Reviewer.txt,Where does a reviewer see their evaluations?
IMG-114,public_sources/screenshots/zqa_account_settings.png,QA account settings,quality_review,"General account settings showing the Default workspace dropdown and other global QA options.",data/public_sources/texts/Zendesk_QA_Admin_guide.txt,Where are QA account settings?
IMG-115,public_sources/screenshots/zqa_activity_page.png,QA activity page,quality_review,"Activity page landing view showing feedback, comments, ratings, and disputes for the signed in user.",data/public_sources/texts/Zendesk_QA_as_Agent.txt,What shows on the QA activity page?
IMG-116,public_sources/screenshots/zqa_activity_page_agent.png,QA activity page - agent view,quality_review,"Agent Activity page Received tab showing Reviews and Comments left on their conversations, plus CSAT survey feedback.",data/public_sources/texts/Zendesk_QA_as_Agent.txt,What does an agent see on the activity page?
IMG-117,public_sources/screenshots/zqa_create_assignment.png,Create QA review assignment,quality_review,"Create assignment form showing assignment name, cycle repeat frequency, timezone, and reviewer and reviewee configuration.",data/public_sources/texts/Zendesk_QA_Admin_guide.txt,How do I assign a QA review?
